idx,name,short_name,vendor,format,format_inferred,format_mismatch,multi_family_group,preferred_family,is_preferred_family,ident,ident_norm,ident_has_contents,ident_is_normalized,primary_category_v11,verified_v11,web_verified_v11,verified_auto_strict_v11
0,Video processor,Video processor,,UNKNOWN,UNKNOWN,False,False,UNKNOWN,True,Video processor,video processor,False,True,Video/Visual,True,False,True
1,Container,Container,,UNKNOWN,UNKNOWN,False,False,UNKNOWN,True,Container,container,False,True,Wrapper/Container,True,False,True
2,ReWire: [Disabled]Ableton Live,ReWire: [Disabled]Ableton Live,,REWIRE,UNKNOWN,True,False,REWIRE,True,ReWire: [Disabled]Ableton Live,rewire: [disabled]ableton live,False,True,Utility/Routing,True,False,True
3,ReWire: REAPER,ReWire: REAPER,,REWIRE,UNKNOWN,True,False,REWIRE,True,ReWire: REAPER,rewire: reaper,False,True,Utility/Routing,True,False,True
4,VST: 5.1 Hybrid Bus Compressor (Stige T.) (6ch),5.1 Hybrid Bus Compressor (Stige T.) (6ch),Stige T.,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\HBC-5.x64.dll,c:\program files\common files\vst2\hbc-5.x64.dll,False,True,Dynamics/Compressor/VCA,True,False,True
5,VST3: 7Q (MANDA AUDIO),7Q,MANDA AUDIO,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\7Q.vst3,c:\program files\common files\vst3\7q.vst3,False,True,EQ/Graphic,True,False,True
6,VST3: A1StereoControl (A1AUDIO.de),A1StereoControl,A1AUDIO.de,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\A1AUDIO.de\A1StereoControl-x64.vst3,c:\program files\common files\vst3\a1audio.de\a1stereocontrol-x64.vst3,False,True,Spatial/Stereo_Tools,True,False,True
7,VST3: A1TriggerGate (A1AUDIO.de),A1TriggerGate,A1AUDIO.de,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\A1AUDIO.de\A1TriggerGate-x64.vst3,c:\program files\common files\vst3\a1audio.de\a1triggergate-x64.vst3,False,True,Dynamics/GateExpander,True,False,True
8,VST: Acceleration (airwindows),Acceleration,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Acceleration64.dll,c:\program files\common files\vst2\airwindows\acceleration64.dll,False,True,Dynamics/HighFrequencyLimiter,True,True,False
9,VST: Acceleration2 (airwindows),Acceleration2,airwindows,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST2\Airwindows\Acceleration264.dll,c:\program files\common files\vst2\airwindows\acceleration264.dll,False,True,Dynamics/HighFrequencyLimiter,True,True,False
10,VST3: Acon Digital Multiply (Acon Digital),Acon Digital Multiply,Acon Digital,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\Acon Digital\Multiply.vst3,c:\program files\common files\vst3\acon digital\multiply.vst3,False,True,Modulation/Chorus,True,False,True
11,VST: Acon Digital Multiply (Acon Digital) (8ch),Acon Digital Multiply (Acon Digital) (8ch),Acon Digital,VST,VST,False,False,VST,True,C:\Program Files\Common Files\VST3\Acon Digital\Multiply.dll,c:\program files\common files\vst3\acon digital\multiply.dll,False,True,Modulation/Chorus,True,False,True
12,VST3i: adc Clap (Audec),adc Clap,Audec,VST3I,VST3I,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Clap.vst3,c:\program files\common files\vst3\adc clap.vst3,False,True,Instrument/Drums/DrumSynth,True,False,True
13,VST3: adc Crush 2 (Audec),adc Crush 2,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Crush 2.vst3,c:\program files\common files\vst3\adc crush 2.vst3,False,True,LoFi/Bitcrush_Degrade,True,False,True
14,VST3: adc Extra Pan (Audec),adc Extra Pan,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Extra Pan.vst3,c:\program files\common files\vst3\adc extra pan.vst3,False,True,Spatial/Stereo_Tools,True,False,True
15,VST3: adc Haas 2 (Audec),adc Haas 2,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Haas 2.vst3,c:\program files\common files\vst3\adc haas 2.vst3,False,True,Spatial/Haas Delay,True,False,True
16,VST3: adc Mono (Audec),adc Mono,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Mono.vst3,c:\program files\common files\vst3\adc mono.vst3,False,True,Spatial/Bass Mono,True,False,True
17,VST3: adc Ring 2 (Audec),adc Ring 2,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Ring 2.vst3,c:\program files\common files\vst3\adc ring 2.vst3,False,True,Modulation/Ring Mod,True,False,True
18,VST3: adc Shape Lite 2 (Audec),adc Shape Lite 2,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Shape Lite 2.vst3,c:\program files\common files\vst3\adc shape lite 2.vst3,False,True,Distortion/Waveshaper,True,False,True
19,VST3: adc Spread Delay (Audec),adc Spread Delay,Audec,VST3,VST3,False,False,VST3,True,C:\Program Files\Common Files\VST3\adc Spread Delay.vst3,c:\program files\common files\vst3\adc spread delay.vst3,False,True,Delay/Echo,True,False,True
