idx,name,vendor,format,ident_raw,ident_package_root,primary_category_v11
498,VST3: JET (Acqua),Acqua,VST3,C:\Program Files\Common Files\VST3\JET.vst3\Contents\x86_64-win\JET.vst3,C:\Program Files\Common Files\VST3\JET.vst3,Utility/Routing
499,VST3: JETMIX (Acqua),Acqua,VST3,C:\Program Files\Common Files\VST3\JETMIX.vst3\Contents\x86_64-win\JETMIX.vst3,C:\Program Files\Common Files\VST3\JETMIX.vst3,Utility/Routing
500,VST3: JETMIXZL (Acqua),Acqua,VST3,C:\Program Files\Common Files\VST3\JETMIXZL.vst3\Contents\x86_64-win\JETMIXZL.vst3,C:\Program Files\Common Files\VST3\JETMIXZL.vst3,Utility/Routing
501,VST3: JETZL (Acqua),Acqua,VST3,C:\Program Files\Common Files\VST3\JETZL.vst3\Contents\x86_64-win\JETZL.vst3,C:\Program Files\Common Files\VST3\JETZL.vst3,Utility/Routing
34,VST3: Airwindows Consolidated (Airwindows),Airwindows,VST3,C:\Program Files\Common Files\VST3\Airwindows (with BaconPaul and members of the Surge Synth Team)\Airwindows Consolidated.vst3\Contents\x86_64-win\Airwindows Consolidated.vst3,C:\Program Files\Common Files\VST3\Airwindows (with BaconPaul and members of the Surge Synth Team)\Airwindows Consolidated.vst3,Wrapper/Container
82,VST3: BLENDEQ (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\BLENDEQ.vst3\Contents\x86_64-win\BLENDEQ.vst3,C:\Program Files\Common Files\VST3\BLENDEQ.vst3,EQ/Parametric
108,VST3: BritChannel (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\BritChannel.vst3\Contents\x86_64-win\BritChannel.vst3,C:\Program Files\Common Files\VST3\BritChannel.vst3,ChannelStrip
109,VST3: BritPre (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\BritPre.vst3\Contents\x86_64-win\BritPre.vst3,C:\Program Files\Common Files\VST3\BritPre.vst3,Saturation/Console_Channel
110,VST3: Britpressor (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\Britpressor.vst3\Contents\x86_64-win\Britpressor.vst3,C:\Program Files\Common Files\VST3\Britpressor.vst3,Dynamics/Compressor
200,VST3: CHANNEV (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\CHANNEV.vst3\Contents\x86_64-win\CHANNEV.vst3,C:\Program Files\Common Files\VST3\CHANNEV.vst3,ChannelStrip
225,VST3: COMBOX (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\COMBOX.vst3\Contents\x86_64-win\COMBOX.vst3,C:\Program Files\Common Files\VST3\COMBOX.vst3,Filter/Comb
316,VST3: Distox (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\Distox.vst3\Contents\x86_64-win\Distox.vst3,C:\Program Files\Common Files\VST3\Distox.vst3,ChannelStrip
385,VST3: FETish (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\FETish.vst3\Contents\x86_64-win\FETish.vst3,C:\Program Files\Common Files\VST3\FETish.vst3,Dynamics/Compressor
384,VST3: FetDrive (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\FetDrive.vst3\Contents\x86_64-win\FetDrive.vst3,C:\Program Files\Common Files\VST3\FetDrive.vst3,Distortion/Overdrive_Distortion
386,VST3: FetSnap (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\FetSnap.vst3\Contents\x86_64-win\FetSnap.vst3,C:\Program Files\Common Files\VST3\FetSnap.vst3,Dynamics/TransientShaper
546,VST3: Kolin (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\Kolin.vst3\Contents\x86_64-win\Kolin.vst3,C:\Program Files\Common Files\VST3\Kolin.vst3,ChannelStrip
558,VST3: LALA (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\LALA.vst3\Contents\x86_64-win\LALA.vst3,C:\Program Files\Common Files\VST3\LALA.vst3,Dynamics/Compressor
712,VST3: MERICA (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\MERICA.vst3\Contents\x86_64-win\MERICA.vst3,C:\Program Files\Common Files\VST3\MERICA.vst3,ChannelStrip
927,VST3: NEQME (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\NEQME.vst3\Contents\x86_64-win\NEQME.vst3,C:\Program Files\Common Files\VST3\NEQME.vst3,EQ/Parametric
993,VST3: PreBOX (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\PreBOX.vst3\Contents\x86_64-win\PreBOX.vst3,C:\Program Files\Common Files\VST3\PreBOX.vst3,Saturation/General
1038,VST3: Rare (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\Rare.vst3\Contents\x86_64-win\Rare.vst3,C:\Program Files\Common Files\VST3\Rare.vst3,ChannelStrip
1039,VST3: RareSE (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\RareSE.vst3\Contents\x86_64-win\RareSE.vst3,C:\Program Files\Common Files\VST3\RareSE.vst3,ChannelStrip
1248,VST3: TuPRE (AnalogObsession),AnalogObsession,VST3,C:\Program Files\Common Files\VST3\TuPRE.vst3\Contents\x86_64-win\TuPRE.vst3,C:\Program Files\Common Files\VST3\TuPRE.vst3,Saturation/General
