group_name,vendor_guess,format_inferred,ident,ident_norm,folders,primary_category_v11_suggest,has_contents
VST3i: Polygon2 (Glitchmachines),Glitchmachines,VST3I,C:\Program Files\Common Files\VST3\Polygon2.vst3,C:\Program Files\Common Files\VST3\Polygon2.vst3,,Instrument/Synth_Granular_SampleBased,False
VST3: AllRADecoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\AllRADecoder.vst3\Contents\x86_64-win\AllRADecoder.vst3,C:\Program Files\Common Files\VST3\IEM\AllRADecoder.vst3,,Spatial/3D_Immersive,True
VST3: BinauralDecoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\BinauralDecoder.vst3\Contents\x86_64-win\BinauralDecoder.vst3,C:\Program Files\Common Files\VST3\IEM\BinauralDecoder.vst3,,Spatial/3D_Immersive,True
VST3: CoordinateConverter (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\CoordinateConverter.vst3\Contents\x86_64-win\CoordinateConverter.vst3,C:\Program Files\Common Files\VST3\IEM\CoordinateConverter.vst3,,Spatial/3D_Immersive,True
VST3: DirectionalCompressor (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\DirectionalCompressor.vst3\Contents\x86_64-win\DirectionalCompressor.vst3,C:\Program Files\Common Files\VST3\IEM\DirectionalCompressor.vst3,,Spatial/3D_Immersive,True
VST3: DirectivityShaper (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\DirectivityShaper.vst3\Contents\x86_64-win\DirectivityShaper.vst3,C:\Program Files\Common Files\VST3\IEM\DirectivityShaper.vst3,,Spatial/3D_Immersive,True
VST3: DistanceCompensator (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\DistanceCompensator.vst3\Contents\x86_64-win\DistanceCompensator.vst3,C:\Program Files\Common Files\VST3\IEM\DistanceCompensator.vst3,,Spatial/3D_Immersive,True
VST3: DualDelay (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\DualDelay.vst3\Contents\x86_64-win\DualDelay.vst3,C:\Program Files\Common Files\VST3\IEM\DualDelay.vst3,,Spatial/3D_Immersive,True
VST3: EnergyVisualizer (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\EnergyVisualizer.vst3\Contents\x86_64-win\EnergyVisualizer.vst3,C:\Program Files\Common Files\VST3\IEM\EnergyVisualizer.vst3,,Spatial/3D_Immersive,True
VST3: FdnReverb (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\FdnReverb.vst3\Contents\x86_64-win\FdnReverb.vst3,C:\Program Files\Common Files\VST3\IEM\FdnReverb.vst3,,Spatial/3D_Immersive,True
VST3: GranularEncoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\GranularEncoder.vst3\Contents\x86_64-win\GranularEncoder.vst3,C:\Program Files\Common Files\VST3\IEM\GranularEncoder.vst3,,Spatial/3D_Immersive,True
VST3: MatrixMultiplier (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\MatrixMultiplier.vst3\Contents\x86_64-win\MatrixMultiplier.vst3,C:\Program Files\Common Files\VST3\IEM\MatrixMultiplier.vst3,,Spatial/3D_Immersive,True
VST3: MultiBandCompressor (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\MultiBandCompressor.vst3\Contents\x86_64-win\MultiBandCompressor.vst3,C:\Program Files\Common Files\VST3\IEM\MultiBandCompressor.vst3,,Spatial/3D_Immersive,True
VST3: MultiEQ (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\MultiEQ.vst3\Contents\x86_64-win\MultiEQ.vst3,C:\Program Files\Common Files\VST3\IEM\MultiEQ.vst3,,Spatial/3D_Immersive,True
VST3: MultiEncoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\MultiEncoder.vst3\Contents\x86_64-win\MultiEncoder.vst3,C:\Program Files\Common Files\VST3\IEM\MultiEncoder.vst3,,Spatial/3D_Immersive,True
VST3: OmniCompressor (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\OmniCompressor.vst3\Contents\x86_64-win\OmniCompressor.vst3,C:\Program Files\Common Files\VST3\IEM\OmniCompressor.vst3,,Spatial/3D_Immersive,True
VST3: ProbeDecoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\ProbeDecoder.vst3\Contents\x86_64-win\ProbeDecoder.vst3,C:\Program Files\Common Files\VST3\IEM\ProbeDecoder.vst3,,Spatial/3D_Immersive,True
VST3: RoomEncoder (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\RoomEncoder.vst3\Contents\x86_64-win\RoomEncoder.vst3,C:\Program Files\Common Files\VST3\IEM\RoomEncoder.vst3,,Spatial/3D_Immersive,True
VST3: SceneRotator (IEM),IEM,VST3,C:\Program Files\Common Files\VST3\IEM\SceneRotator.vst3\Contents\x86_64-win\SceneRotator.vst3,C:\Program Files\Common Files\VST3\IEM\SceneRotator.vst3,,Spatial/3D_Immersive,True
