name,short_name,vendor,format,is_instrument,primary_category_v10_6,categories_v10_6,instrument_type_v10_6,confidence_v10,needs_review_v10,primary_category_v11,categories_v11,instrument_type_v11,confidence_v11,needs_review_v11,web_verified_v11,notes_v11,idx,ident,primary_category_v6,categories_v6,primary_category_v10,categories_v10,use_cases_v10,rationale_v10,notes_v10,instrument_type_v1,instrument_tags_v1,instrument_confidence_v1,instrument_reason_v1,primary_category_v10_5,categories_v10_5,primary_category_v10_5_norm,categories_v10_5_norm_list,instrument_type_v2,instrument_tags_v2,instrument_confidence_v2,instrument_reason_v2,instrument_tags_v10_6,instrument_confidence_v10_6,instrument_reason_v10_6,needs_review,mismatch_score,web_verified_bool,__cluster,verified_integrity_v11,integrity_issues_v11,verified_auto_strict_v11,verified_auto_strict_reason_v11,verified_v11,verified_v11_level
Video processor,Video processor,,UNKNOWN,False,Video/Visual,Video/Visual,,high,False,Video/Visual,Video/Visual,,high,False,False,,0,Video processor,Video/Visual,Video/Visual,Video/Visual,Video/Visual,,v6,,,,,,Video/Visual,Video/Visual,Video/Visual,['Video/Visual'],,,,,,,,False,0.0,False,novendor|video processor,True,,True,name/format heuristic,True,auto_strict
Container,Container,,UNKNOWN,False,Wrapper/Container,Wrapper/Container,,high,False,Wrapper/Container,Wrapper/Container,,high,False,False,,1,Container,Wrapper/Container,Wrapper/Container,Wrapper/Container,Wrapper/Container,,v6,,,,,,Wrapper/Container,Wrapper/Container,Wrapper/Container,['Wrapper/Container'],,,,,,,,False,0.0,False,novendor|container,True,,True,name/format heuristic,True,auto_strict
ReWire: [Disabled]Ableton Live,ReWire: [Disabled]Ableton Live,,REWIRE,False,Utility/Routing,Utility/Routing,,high,False,Utility/Routing,Utility/Routing,,high,False,False,,2,ReWire: [Disabled]Ableton Live,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,v6 utility,,,,,,Utility/Routing,Utility/Routing,Utility/Routing,['Utility/Routing'],,,,,,,,False,0.0,False,novendor|rewire: [disabled]ableton live,True,,True,name/format heuristic,True,auto_strict
ReWire: REAPER,ReWire: REAPER,,REWIRE,False,Utility/Routing,Utility/Routing,,high,False,Utility/Routing,Utility/Routing,,high,False,False,,3,ReWire: REAPER,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing,v6 utility,,,,,,Utility/Routing,Utility/Routing,Utility/Routing,['Utility/Routing'],,,,,,,,False,0.0,False,novendor|rewire: reaper,True,,True,name/format heuristic,True,auto_strict
VST: 5.1 Hybrid Bus Compressor (Stige T.) (6ch),5.1 Hybrid Bus Compressor (Stige T.) (6ch),Stige T.,VST,False,Dynamics/Compressor/VCA,Dynamics/Compressor; Dynamics/Compressor/VCA,,high,False,Dynamics/Compressor/VCA,Dynamics/Compressor;Dynamics/Compressor/VCA,,high,False,False,,4,C:\Program Files\Common Files\VST2\HBC-5.x64.dll,Dynamics,Dynamics,Dynamics/Compressor/VCA,Dynamics/Compressor;Dynamics/Compressor/VCA,Bus/Groups;Bus/Tracks,compressor keyword subtype=Dynamics/Compressor/VCA,,,,,,Dynamics/Compressor/VCA,Dynamics/Compressor;Dynamics/Compressor/VCA,Dynamics/Compressor/VCA,"['Dynamics/Compressor', 'Dynamics/Compressor/VCA']",,,,,,,,False,0.0,False,stige t.|5.1 hybrid bus compressor (stige t.) (6ch),True,,True,comp_kw,True,auto_strict
VST3: 7Q (MANDA AUDIO),7Q,MANDA AUDIO,VST3,False,EQ/Graphic,EQ/Graphic; FX/EQ,,high,False,EQ/Graphic,EQ/Graphic;FX/EQ,,high,False,False,,5,C:\Program Files\Common Files\VST3\7Q.vst3,EQ/Filter,EQ/Filter,EQ/Graphic,EQ/Graphic;FX/EQ,Bus/Tracks;Bus/Groups,verified: 7-band graphic EQ (vendor info),,,,,,EQ/Graphic,EQ/Graphic;FX/EQ,EQ/Graphic,"['EQ/Graphic', 'FX/EQ']",,,,,,,,False,0.0,False,manda audio|7q,True,,True,name/format heuristic,True,auto_strict
VST3: A1StereoControl (A1AUDIO.de),A1StereoControl,A1AUDIO.de,VST3,False,Spatial/Stereo Tool,Spatial/Stereo Tool; Stereo,,high,False,Spatial/Stereo_Tools,Spatial/Stereo_Tools;Spatial/Stereo Tool;Stereo,,high,False,False,,6,C:\Program Files\Common Files\VST3\A1AUDIO.de\A1StereoControl-x64.vst3,Spatial/Imaging,Spatial/Imaging,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo,Width control,v6 spatial,A1StereoControl is a stereo imaging tool.,,,,,Spatial: Stereo Tool,Spatial: Stereo Tool;Stereo,Spatial/Stereo Tool,"['Spatial/Stereo Tool', 'Stereo']",,,,,,,,False,0.0,False,a1audio.de|a1stereocontrol,True,,True,name/format heuristic,True,auto_strict
VST3: A1TriggerGate (A1AUDIO.de),A1TriggerGate,A1AUDIO.de,VST3,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,Dynamics/GateExpander,Dynamics/GateExpander,,high,False,False,,7,C:\Program Files\Common Files\VST3\A1AUDIO.de\A1TriggerGate-x64.vst3,Gate/TranceGate,Gate/TranceGate,Dynamics/GateExpander,Dynamics/GateExpander,Bus/Groups;Bus/Tracks,gate keyword,,,,,,Dynamics/GateExpander,Dynamics/GateExpander,Dynamics/GateExpander,['Dynamics/GateExpander'],,,,,,,,False,0.0,False,a1audio.de|a1triggergate,True,,True,name/format heuristic,True,auto_strict
VST: Acceleration (airwindows),Acceleration,airwindows,VST,False,Utility/Other,Saturation/General; Utility/Other,,high,False,Dynamics/HighFrequencyLimiter,Dynamics/HighFrequencyLimiter;Saturation/General;Utility/Other;Dynamics/Limiter;Dynamics/HFLimiter,,high,False,True,Airwindows plugin mapped by name; key ones web-verified.,8,C:\Program Files\Common Files\VST2\Airwindows\Acceleration64.dll,Saturation/Distortion,Saturation/Distortion,Utility/Other,Saturation/General;Utility/Other,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Utility/Other,Saturation/General;Utility/Other,Utility/Other,"['Saturation/General', 'Utility/Other']",,,,,,,,False,1.0,True,airwindows|acceleration,True,,False,web,True,web
VST: Acceleration2 (airwindows),Acceleration2,airwindows,VST,False,Utility/Other,Saturation/General; Utility/Other,,high,False,Dynamics/HighFrequencyLimiter,Dynamics/HighFrequencyLimiter;Saturation/General;Utility/Other;Dynamics/Limiter;Dynamics/HFLimiter,,high,False,True,Airwindows plugin mapped by name; key ones web-verified.,9,C:\Program Files\Common Files\VST2\Airwindows\Acceleration264.dll,Saturation/Distortion,Saturation/Distortion,Utility/Other,Saturation/General;Utility/Other,Bus/Coloring;Bus/FX,Airwindows: categorized using vendor-specific effect groupings (KVR Airwindows categorized list) plus name-based heuristics for sub-type.,,,,,,Utility/Other,Saturation/General;Utility/Other,Utility/Other,"['Saturation/General', 'Utility/Other']",,,,,,,,False,1.0,True,airwindows|acceleration2,True,,False,web,True,web
