fx_display,fx_ident,fx_type,base_name,loaded_ok,load_name_used,param_count
,com.auburnsounds.Couture,,,1,CLAP: Couture (Auburn Sounds),23
,com.auburnsounds.Inner-Pitch--,,,1,CLAP: Inner Pitch 2 (Auburn Sounds),30
,com.auburnsounds.Panagement--,,,1,CLAP: Panagement 2 (Auburn Sounds),47
,org.surge-synth-team.surge-xt-fx,,,1,CLAP: Surge XT Effects (Surge Synth Team),16
,org.surge-synth-team.surge-xt,,,1,CLAPi: Surge XT (Surge Synth Team),778
,com.u-he.TyrellN6,,,1,CLAPi: TyrellN6 (u-he),97
,com.u-he.ZebraHZ,,,1,CLAPi: ZebraHZ (u-he),1089
,Container,,,1,Container,3
,ReaTeam JSFX/Utility/ReaperBlog_-12dB Dim.jsfx,,,1,JS: -12dB Dim,3
,sstillwell/1175,,,1,JS: 1175 Compressor,9
,X-Raym Scripts/JSFX/MIDI/X-Raym_16 pads MIDI Notes Map.jsfx,,,1,JS: 16 pads MIDI Notes Map,41
,ReaTeam JSFX/Synth/TiaR_2op PM Synth.jsfx,,,1,JS: 2op PM Synth,42
,loser/3BandEQ,,,1,JS: 3-Band EQ,9
,loser/3BandJoiner,,,1,JS: 3-Band Joiner,6
,Liteon/3bandpeakfilter,,,1,JS: 3-Band Peak Filter,19
,loser/3BandSplitter,,,1,JS: 3-Band Splitter,5
,sstillwell/3x3,,,1,JS: 3x3 EQ,11
,sstillwell/3x3_6dbSlope,,,1,JS: 3x3 EQ (1-Pole Crossover),11
,X-Raym Scripts/JSFX/X-Raym_4 Mono channels switcher.jsfx,,,1,JS: 4 Mono channels switcher,5
,X-Raym Scripts/JSFX/X-Raym_4 Stereo channels switcher.jsfx,,,1,JS: 4 stereo channels switcher,5
,loser/4BandEQ,,,1,JS: 4-Band EQ,11
,loser/4BandJoiner,,,1,JS: 4-Band Joiner,7
,loser/4BandSplitter,,,1,JS: 4-Band Splitter,6
,guitar/phaser,,,1,JS: 4-Tap Phaser,8
,sstillwell/4x4,,,1,JS: 4x4 EQ,11
,loser/5BandJoiner,,,1,JS: 5-Band Joiner,8
,loser/5BandSplitter,,,1,JS: 5-Band Splitter,7
,ReaTeam JSFX/Routing/MDF_51 to DMS.jsfx,,,1,JS: 5.1 to DoubleMidSide,6
,loser/50HzKicker,,,1,JS: 50 Hz Kicker,6
,IX/Switcher2,,,1,JS: 8-Channel Input Switcher,8
,IX/Mixer_8xM-1xS,,,1,JS: 8x Mono to 1x Stereo Mixer,19
,IX/Mixer_8xS-1xS,,,1,JS: 8x Stereo to 1x Stereo Mixer,11
,misc/adpcm_simulator,,,1,JS: ADPCM Simulator,7
,ReaTeam JSFX/MIDI/tomaszpio_AKAI APC mini grid toggle.jsfx,,,1,JS: AKAI APC mini grid toggle,8
,loser/amplitudeModulator,,,1,JS: Amplitude Modulator,4
,ReaTeam JSFX/MIDI/tomaszpio_APC Pad Blinker (Sync to Transport).jsfx,,,1,JS: APC Pad Blinker (Sync to Transport),6
,Liteon/applefilter72db,,,1,JS: Apple 12-Pole Filter,11
,Liteon/applefilter12db,,,1,JS: Apple 2-Pole Lowpass Filter,7
,schwa/audio_statistics,,,1,JS: Audio Statistics,19
,midi/drumtrigger,,,1,JS: Audio To MIDI Drum Trigger,11
,sstillwell/autoexpand,,,1,JS: Auto Expander,9
,loopsamplers/autoloop,,,1,JS: Auto Looper,12
,ReaTeam Extensions/Control Surfaces/Splits/JS/(Auto Vol - Add Receive),,,1,JS: Auto Vol - Add Receive (Hit [Edit] for help),3
,ReaTeam Extensions/Control Surfaces/Splits/JS/(Auto Vol - Send),,,1,JS: Auto Vol - Send (Hit [Edit] for help),3
,ReaTeam Extensions/Control Surfaces/Splits/JS/(Auto Vol - Split Receive),,,1,JS: Auto Vol - Split Receive (Hit [Edit] for help),3
,Till/Auto-Wideness v1.0,,,1,JS: Auto-Wideness,16
,ReaTeam JSFX/Utility/dylanmadigan_Automatic Gain Stager.jsfx,,,1,JS: Automatic Gain Stager,7
,ReaTeam JSFX/Utility/CoreyScogin_AutoMixer.jsfx,,,1,JS: AutoMixer,5
,ReaTeam JSFX/Utility/az_Automute.jsfx,,,1,JS: Automute,7
,remaincalm_org/avocado_glitch,,,1,JS: Avocado Ducking Glitch Generator,14
,sstillwell/badbussmojo,,,1,JS: Bad Buss Mojo Waveshaper,11
,sstillwell/badbussmojo_aa,,,1,JS: Bad Buss Mojo Waveshaper w/AA,13
,ReaTeam JSFX/Dynamic/mrelwood_BandbAss.jsfx,,,1,JS: BandbAss,13
,Liteon/bassmanager,,,1,JS: Bass Manager/Booster,13
,meters/bit_meter,,,1,JS: Bit Meter (Cockos),3
,old_unsupported/dither,,,1,JS: Bit Reduction/Dither,11
,utility/dither_psycho,,,1,JS: Bit Reduction/Dither w/Noise Shaping,7
,ReaTeam JSFX/Utility/mrelwood_Blipper.jsfx,,,1,JS: Blipper,11
,Liteon/butterworth24db,,,1,JS: Butterworth 4-Pole Filter,9
,loser/CenterCanceler,,,1,JS: Center Canceler,4
,utility/channel_mapper,,,1,JS: Channel Mapper-Downmixer (Cockos),131
,utility/channelmixer,,,1,JS: Channel Mixer,7
,loser/phaseMeter,,,1,JS: Channel Phase Meter,7
,IX/StereoPhaseInvert,,,1,JS: Channel Polarity Control,4
,IX/PhaseAdjustingRouter,,,1,JS: Channel Router w/Polarity,7
,loser/TimeDelayer,,,1,JS: Channel Time Delayer,5
,Liteon/cheby24db,,,1,JS: Chebyshev 4-Pole Filter,9
,guitar/chorus,,,1,JS: Chorus,9
,sstillwell/chorus,,,1,JS: Chorus (Improved Shaping),9
,sstillwell/chorus_stereo,,,1,JS: Chorus (Stereo),11
,ReaTeam JSFX/Synth/TiaR_Chua Oscillator.jsfx,,,1,JS: Chua Oscillator,16
,loser/Compciter,,,1,JS: Compciter,8
,ReaTeam JSFX/Synth/TiaR_Complex X Filter Synth.jsfx,,,1,JS: Complex X Filter Synth,22
,MPL Scripts/JSFX/Convert Pitch(L) Gate(R) pair from Reaktor Blocks to MIDI.jsfx,,,1,JS: Convert Pitch(L) Gate(R) pair from Reaktor Blocks to MIDI,3
,guitar/amp-model,,,1,JS: Convolution Amp/Cab Modeler,9
,guitar/amp-model-dual,,,1,JS: Convolution Dual Amp Modeler,9
,filters/dc_remove,,,1,JS: DC Filter,3
,MPL Scripts/JSFX/DC offset.jsfx,,,1,JS: DC offset,4
,Liteon/deesser,,,1,JS: De-esser,12
,delay/delay,,,1,JS: Delay,9
,remaincalm_org/floaty_delay,,,1,JS: Delay (Floaty),14
,delay/delay_lowres,,,1,JS: Delay (Lo-Fi),10
,ReaTeam JSFX/Modulation/mschnell_Delay_Modulator.jsfx,,,1,JS: Delay Modulator,9
,delay/delay_chorus,,,1,JS: Delay w/Chorus,10
,delay/delay_varlen,,,1,JS: Delay w/LFO-Modulated Length,10
,misc/reverseness,,,1,JS: Delay w/Reverseness,8
,delay/delay_chfun,,,1,JS: Delay w/Stereo Bounce,9
,delay/delay_sustain,,,1,JS: Delay w/Sustain,10
,sstillwell/delay_tempo,,,1,JS: Delay w/Tempo Length,10
,sstillwell/delay_pong,,,1,JS: Delay w/Tempo Ping-Pong,10
,delay/delay_tone,,,1,JS: Delay w/Tone Control,10
,loser/DDC,,,1,JS: Digital Drum Compressor,13
,loser/DVCJS,,,1,JS: Digital Versatile Compressor,9
,loser/DVC2JS,,,1,JS: Digital Versatile Compressor v2,11
,sstillwell/dirtsqueeze,,,1,JS: Dirt Squeeze Compressor,7
,guitar/distortion,,,1,JS: Distortion,7
