path,status,chosen_from,replacement_hint,zips_containing,versions_seen,hash_variants
README.md,DEPRECATED/OMITTED,,README_MERGED.md,"IFLSWB_Fieldrec_Slicer_Kit.zip, IFLSWB_Fieldrec_SmartSlicer_v2.zip, IFLSWB_Fieldrec_SmartSlicer_v3.zip, IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",,5
README_PATCHKIT.md,KEPT,IFLSWB_SmartSlicing_Upgrade_PatchKit.zip,,IFLSWB_SmartSlicing_Upgrade_PatchKit.zip,,1
Scripts/IFLS_Workbench/Slicing/IFLSWB_Fieldrec_SmartSlicer_Core.lua,KEPT,IFLSWB_Fieldrec_SmartSlicer_v3.zip,,"IFLSWB_Fieldrec_SmartSlicer_v3.zip, IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",3.0.0,2
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_HQ_Toggle.lua,KEPT,IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip,,"IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",3.0.0,1
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Hits.lua,KEPT,IFLSWB_Fieldrec_SmartSlicer_v3.zip,,"IFLSWB_Fieldrec_SmartSlicer_v3.zip, IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",3.0.0,2
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,KEPT,IFLSWB_Fieldrec_SmartSlicer_v3.zip,,"IFLSWB_Fieldrec_SmartSlicer_v3.zip, IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",3.0.0,2
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_Textures.lua,KEPT,IFLSWB_Fieldrec_SmartSlicer_v3.zip,,"IFLSWB_Fieldrec_SmartSlicer_v3.zip, IFLSWB_SmartSlicer_Toolbar_Pack.zip, IFLSWB_SmartSlicer_Toolbar_Pack_plus_ReampPrint.zip",3.0.0,2
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Slice_Fieldrec_Smart_AUTO_Segment.lua,DEPRECATED/OMITTED,,Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,IFLSWB_Fieldrec_SmartSlicer_v2.zip,0.9.0,1
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Slice_Fieldrec_Smart_HITS.lua,DEPRECATED/OMITTED,,Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,IFLSWB_Fieldrec_SmartSlicer_v2.zip,0.9.0,1
Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Slice_Fieldrec_Smart_MODEMENU.lua,DEPRECATED/OMITTED,,Scripts/IFLS_Workbench/Slicing/IFLS_Workbench_Fieldrec_SmartSlice_ModeMenu.lua,IFLSWB_Fieldrec_SmartSlicer_v2.zip,0.9.0,1
