idx,name,ident,format,vendor,is_instrument,primary_category,categories,primary_category_v6,categories_v6
0,Video processor,Video processor,UNKNOWN,,False,Other/Unknown,Other/Unknown,Video/Visual,Video/Visual
1,Container,Container,UNKNOWN,,False,Other/Unknown,Other/Unknown,Wrapper/Container,Wrapper/Container
2,ReWire: [Disabled]Ableton Live,ReWire: [Disabled]Ableton Live,REWIRE,,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
3,ReWire: REAPER,ReWire: REAPER,REWIRE,,False,Utility/Routing,Utility/Routing,Utility/Routing,Utility/Routing
4,VST: 5.1 Hybrid Bus Compressor (Stige T.) (6ch),C:\Program Files\Common Files\VST2\HBC-5.x64.dll,VST,Stige T.,False,Other/Unknown,Other/Unknown,Dynamics,Dynamics
5,VST3: 7Q (MANDA AUDIO),C:\Program Files\Common Files\VST3\7Q.vst3,VST3,MANDA AUDIO,False,EQ/Filter,EQ/Filter,EQ/Filter,EQ/Filter
6,VST3: A1StereoControl (A1AUDIO.de),C:\Program Files\Common Files\VST3\A1AUDIO.de\A1StereoControl-x64.vst3,VST3,A1AUDIO.de,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
7,VST3: A1TriggerGate (A1AUDIO.de),C:\Program Files\Common Files\VST3\A1AUDIO.de\A1TriggerGate-x64.vst3,VST3,A1AUDIO.de,False,Gate/TranceGate,Gate/TranceGate,Gate/TranceGate,Gate/TranceGate
8,VST: Acceleration (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Acceleration64.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
9,VST: Acceleration2 (airwindows),C:\Program Files\Common Files\VST2\Airwindows\Acceleration264.dll,VST,airwindows,False,Other/Unknown,Other/Unknown,Saturation/Distortion,Saturation/Distortion
10,VST3: Acon Digital Multiply (Acon Digital),C:\Program Files\Common Files\VST3\Acon Digital\Multiply.vst3,VST3,Acon Digital,False,Modulation,Modulation,Modulation,Modulation
11,VST: Acon Digital Multiply (Acon Digital) (8ch),C:\Program Files\Common Files\VST3\Acon Digital\Multiply.dll,VST,Acon Digital,False,Modulation,Modulation,Modulation,Modulation
12,VST3i: adc Clap (Audec),C:\Program Files\Common Files\VST3\adc Clap.vst3,VST3I,Audec,True,Instruments,Instruments,Instruments,Instruments
13,VST3: adc Crush 2 (Audec),C:\Program Files\Common Files\VST3\adc Crush 2.vst3,VST3,Audec,False,Other/Unknown,Other/Unknown,LoFi/Degrade,LoFi/Degrade
14,VST3: adc Extra Pan (Audec),C:\Program Files\Common Files\VST3\adc Extra Pan.vst3,VST3,Audec,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
15,VST3: adc Haas 2 (Audec),C:\Program Files\Common Files\VST3\adc Haas 2.vst3,VST3,Audec,False,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging,Spatial/Imaging
16,VST3: adc Mono (Audec),C:\Program Files\Common Files\VST3\adc Mono.vst3,VST3,Audec,False,Other/Unknown,Other/Unknown,Spatial/Imaging,Spatial/Imaging
17,VST3: adc Ring 2 (Audec),C:\Program Files\Common Files\VST3\adc Ring 2.vst3,VST3,Audec,False,Modulation,Modulation,Modulation,Modulation
18,VST3: adc Shape Lite 2 (Audec),C:\Program Files\Common Files\VST3\adc Shape Lite 2.vst3,VST3,Audec,False,EQ/Filter,EQ/Filter; Saturation/Distortion,EQ/Filter,EQ/Filter; Saturation/Distortion
19,VST3: adc Spread Delay (Audec),C:\Program Files\Common Files\VST3\adc Spread Delay.vst3,VST3,Audec,False,Delay,Delay,Delay,Delay
20,VST3: adc Spread Delay Lite (Audec),C:\Program Files\Common Files\VST3\adc Spread Delay Lite.vst3,VST3,Audec,False,Delay,Delay,Delay,Delay
